"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Bronham and Cardillo 2007","ES24","CC10","Indonesia","Mentawai","Mammals","Primata","Cercopithecidae","Macaca nemestrina","Macaca nemestrina nemestrina","Macaca pagensis","Herb","Both","Weight",8597.22222222222,6275,2599.00814433021,1520.28,18,2,-0.314865668650693,0.0344259824395955,98.975,-1.413,3.93435815258885,3.60530504614111,2.15685492750185,0.80037685546875,-1.48355630157868,26.0257568359375,1.54605659195462,3.54180988701015,"","Island rule","SP6"
"Bronham and Cardillo 2007","ES25","CC11","Borneo","Mentawai","Mammals","Primata","Cercopithecidae","Nasalis larvatus","Nasalis larvatus","Simias concolor","Herb","Both","Weight",14997.4468085106,7975,743.461807918648,373.519597408633,94,6,-0.631568325177505,0.000391749668256815,98.975,-1.413,4.17601733029869,3.60530504614111,2.15685492750185,0.80037685546875,-1.48355630157868,26.0257568359375,1.54605659195462,3.54180988701015,"","Island rule","SP7"
"Bronham and Cardillo 2007, Delson et al. 2000, Smith and Jungers 1997","ES26","CC12","Java","Mentawai","Mammals","Primata","Cercopithecidae","Presbytis comata","Presbytis comata","Presbytis potenziani","Herb","Both","Weight",6698,6199.22222233333,332.03699623147,996.687486003851,10,9,-0.07738513820098,0.00311785400690464,98.975,-1.413,3.82594514320385,3.60530504614111,2.15685492750185,0.80037685546875,-1.48355630157868,26.0257568359375,1.54605659195462,3.54180988701015,"","Island rule","SP8"
"Bronham and Cardillo 2007, Delson et al. 2000, Smith and Jungers 1997","ES27","CC13","Malay Peninsula","Natuna-besar","Mammals","Primata","Cercopithecidae","Presbytis femoralis","Presbytis femoralis","Presbytis natunae","Herb","Both","Weight",6229.26829268293,5103,308.800766291785,472.057906072277,41,4,-0.199430274812297,0.00219927561365682,108.2022,3.9098,3.79443703620766,3.23552844690755,2.68304793926381,0.66591943359375,-1.60790650532153,27.0590648651123,1.86150048246505,3.37321376605524,"","Island rule","SP9"
"Bronham and Cardillo 2007, Delson et al. 2000, Smith and Jungers 1997","ES28","CC14","Malay Peninsula","Bintan","Mammals","Primata","Cercopithecidae","Presbytis siamensis","Presbytis melalophos siamensis","Presbytis melalophos rhionis","Omn","Female","Weight",6876.667,5471.25,465.009,998.877,3,4,-0.228626977365179,0.00985701152949908,104.5003,1.076,3.83737799430509,3.06929801211553,1.32223997493115,0.58124501953125,-1.73779685261703,26.9479103088379,1.61607417825682,3.39202101896881,"","Island rule","SP10"
"Forsman et al. 2011","ES29","CC15","Sweden (Granskar and Uppsala)","Angskar","Mammals","Rodentia","Cricetidae","Microtus agrestis","Microtus agrestis","Microtus agrestis","Herb","Both","Length",46.8456888367181,59.5850803964774,3.28269762652045,5.66304483107016,73,39,0.240546229926327,0.000298878239849788,19.275,59.536,1.67066962936307,-1.53461714855158,1.35604498868723,0.370390551757812,-1.30924246498372,6.27259731292725,2.81307705891648,2.69425411738461,"","Island rule","SP11"
"Forsman et al. 2011","ES30","CC15","Sweden (Granskar and Uppsala)","Inre Hamnskar","Mammals","Rodentia","Cricetidae","Microtus agrestis","Microtus agrestis","Microtus agrestis","Herb","Both","Length",46.8456888367181,51.6212608085765,3.28269762652045,5.34167829236574,73,46,0.0970746349106463,0.000300043810005675,19.316,59.732,1.67066962936307,-1.60205999132796,1.1271372071915,0.0347831329345703,-3,6.22485399246216,2.81383950980747,2.71949702672399,"","Island rule","SP11"
"Forsman et al. 2011","ES31","CC15","Sweden (Granskar and Uppsala)","Norrpada","Mammals","Rodentia","Cricetidae","Microtus agrestis","Microtus agrestis","Microtus agrestis","Herb","Both","Length",46.8456888367181,66.7952081840122,3.28269762652045,5.08915871878188,73,41,0.354772360308038,0.000208851715139221,19.274,59.627,1.67066962936307,-1.63638802010786,1.16734687758564,0.339017749023438,-1.25097000173012,6.16063356399536,2.81456170664023,2.71319645424764,"","Island rule","SP11"
"Forsman et al. 2011","ES32","CC15","Sweden (Granskar and Uppsala)","Rodloga","Mammals","Rodentia","Cricetidae","Microtus agrestis","Microtus agrestis","Microtus agrestis","Herb","Both","Length",46.8456888367181,56.8483649355526,3.28269762652045,5.6370647583153,73,16,0.193528474865541,0.000681806559439447,19.1646,59.5919,1.67066962936307,-1.36653154442041,1.1613979525458,0.405090942382813,-1.36171675613614,6.18209362030029,2.81514490549654,2.71458958592356,"","Island rule","SP11"
"Forsman et al. 2011","ES33","CC15","Sweden (Granskar and Uppsala)","Sjalsten","Mammals","Rodentia","Cricetidae","Microtus agrestis","Microtus agrestis","Microtus agrestis","Herb","Both","Length",46.8456888367181,47.9119715234401,3.28269762652045,3.93562623228258,73,9,0.0225064167213776,0.000816983179106922,19.1938,59.7415,1.67066962936307,-1.6345120151091,0.799409479615127,0.48864248046875,-1.41924304031286,5.96592903137207,2.8172898409745,2.74197840461277,"","Island rule","SP11"
"Forsman et al. 2011","ES34","CC15","Sweden (Granskar and Uppsala)","Svenska Hogarna","Mammals","Rodentia","Cricetidae","Microtus agrestis","Microtus agrestis","Microtus agrestis","Herb","Both","Length",46.8456888367181,62.4054212864932,3.28269762652045,7.05231996652241,73,17,0.286793167303507,0.000818492359023188,19.491,59.434,1.67066962936307,-1.36251027048749,1.59770615281941,0.351812646484375,-1.13747475914517,6.3062915802002,2.81265738448752,2.64483232282037,"","Island rule","SP11"
"Foster 1963","ES35","CC16","British Columbia","Forrester","Mammals","Eulipotyphla","Soricidae","Sorex monticolus","Sorex obscurus","Sorex obscurus","Inver","Unsexed","CBL",7.43973721911597,6.88815387136378,0.0764009126427847,0.0704498998839986,19,10,-0.0770324222858552,1.601101485059e-05,-133.53,54.7988,0.871557595988975,1.01241537476243,1.49555821254787,0.6724390625,-1.51066364202794,7.65277767181396,2.59164367568152,3.48315920971698,"","Island rule","SP12"
"Foster 1963","ES36","CC16","British Columbia","Graham","Mammals","Eulipotyphla","Soricidae","Sorex monticolus","Sorex obscurus","Sorex obscurus","Inver","Unsexed","CBL",7.43973721911597,6.26057793506004,0.0764009126427847,0.081349724863742,19,23,-0.172563025464762,1.28914558115979e-05,-132.313,53.437,0.871557595988975,3.80352539557653,1.88081930664427,0.718636279296875,-1.4955592547472,7.14643526077271,2.61294044743336,3.40125312714341,"","Island rule","SP12"
"Foster 1963","ES37","CC16","British Columbia","Hippa","Mammals","Eulipotyphla","Soricidae","Sorex monticolus","Sorex obscurus","Sorex obscurus","Inver","Unsexed","CBL",7.43973721911597,6.92923262754262,0.0764009126427847,0.06001419909479,19,9,-0.0710864530956961,1.38852523724496e-05,-132.971,53.5297,0.871557595988975,2.18412335423967,-0.154281982033341,0.649428662109375,-1.44492127883827,7.62778377532959,2.56977151464551,3.3853041388032,"","Island rule","SP12"
"Foster 1963","ES38","CC16","British Columbia","Kunghit","Mammals","Eulipotyphla","Soricidae","Sorex monticolus","Sorex obscurus","Sorex obscurus","Inver","Unsexed","CBL",7.43973721911597,7.29872995629408,0.0764009126427847,0.121714156783031,19,31,-0.0191351737814768,1.45211424876252e-05,-131.083,52.101,0.871557595988975,2.13672056715641,0.000434077479318593,0.713313427734375,-1.73109836349289,8.00057029724121,2.57390655980719,3.33967794930208,"","Island rule","SP12"
"Foster 1963","ES39","CC16","British Columbia","Kupreanof","Mammals","Eulipotyphla","Soricidae","Sorex monticolus","Sorex obscurus","Sorex obscurus","Inver","Unsexed","CBL",7.43973721911597,6.22505462168015,0.0764009126427847,0.0902734867411672,19,17,-0.178253311330573,1.79208922722652e-05,-133.4969,56.7928,0.871557595988975,3.45055700941833,0.954290761701127,0.603000244140625,-1.39296553267818,5.77403974533081,2.72822360457428,3.52261263719397,"","Island rule","SP12"
"Foster 1963","ES40","CC16","British Columbia","Langara","Mammals","Eulipotyphla","Soricidae","Sorex monticolus","Sorex obscurus","Sorex obscurus","Inver","Unsexed","CBL",7.43973721911597,6.32695450090075,0.0764009126427847,0.0877917590037087,19,20,-0.162016529330613,1.51773873093157e-05,-133.02,54.23,0.871557595988975,1.51454775266029,0.000434077479318593,0.57892421875,-1.58433834108737,7.77600479125977,2.58155262502687,3.30430738414948,"","Island rule","SP12"
"Foster 1963","ES41","CC16","British Columbia","Moresby","Mammals","Eulipotyphla","Soricidae","Sorex monticolus","Sorex obscurus","Sorex obscurus","Inver","Unsexed","CBL",7.43973721911597,6.33464729320108,0.0764009126427847,0.0666127345255149,19,20,-0.160801391882445,1.1079363009249e-05,-131.986,52.801,0.871557595988975,3.42094540592197,2.25527491784373,0.690309033203125,-1.47829409875799,7.47664976119995,2.5930912086848,3.5126817259473,"","Island rule","SP12"
"Foster 1963","ES42","CC16","British Columbia","Ramsay","Mammals","Eulipotyphla","Soricidae","Sorex monticolus","Sorex obscurus","Sorex obscurus","Inver","Unsexed","CBL",7.43973721911597,7.11217473702612,0.0764009126427847,0.0905994042870738,19,11,-0.0450274609770245,2.03025280784324e-05,-131.383,52.564,0.871557595988975,1.2148438480477,0.80624782719579,0.703226953125,-1.52078434248257,8.09847259521484,2.57137533805091,3.4502460251978,"","Island rule","SP12"
"Foster 1963","ES43","CC16","British Columbia","SE islands (Talunkwan, Tanu, Kunga, Lyell, Bischoff, Bolkus)","Mammals","Eulipotyphla","Soricidae","Sorex monticolus","Sorex obscurus","Sorex obscurus","Inver","Unsexed","CBL",7.43973721911597,6.62161369658965,0.0764009126427847,0.0531638102710779,19,13,-0.116496427151717,1.05090752013979e-05,-131.757,52.829,0.871557595988975,2.24797326636181,0.301247088636211,0.71007724609375,-1.5922498144222,7.16653871536255,2.60477931921718,3.49733054947064,"","Island rule","SP12"
"Foster 1963","ES44","CC16","British Columbia","Smythe","Mammals","Eulipotyphla","Soricidae","Sorex monticolus","Sorex obscurus","Sorex obscurus","Inver","Unsexed","CBL",7.43973721911597,6.98705244392133,0.0764009126427847,0.021729361060957,19,24,-0.062776742739454,5.95344171145292e-06,-128.479,52.19,0.871557595988975,-1.18775530319963,-0.396855627379818,0.66991494140625,-1.54920032278597,8.6740550994873,2.63102750514291,3.4569806029305,"","Island rule","SP12"
"Ganem et al 1995","ES45","CC17","Senegal","Betanti","Mammals","Rodentia","Muridae","Mastomys huberti","Mastomys huberti","Mastomys huberti","Herb","Both","Weight",46.5729411747059,19.8,10.9682789075371,2.63391343821318,85,9,-0.855337773294943,0.00261872625341596,-16.554,13.756,1.66813366536694,2.30102999566398,-0.300162274132754,0.452069091796875,-1.89215202181232,26.4313545227051,2.12989765289932,2.87107649639601,"","Island rule","SP13"
"Ganem et al 1995","ES46","CC17","Senegal","Terema","Mammals","Rodentia","Muridae","Mastomys huberti","Mastomys huberti","Mastomys huberti","Herb","Both","Weight",46.5729411747059,27.6583333333333,10.9682789075371,3.64744301939182,85,24,-0.521092642057505,0.00137714109719422,-16.638,13.654,1.66813366536694,-0.0969100130080564,0.301247088636211,0.441234326171875,-1.87686372135388,26.231595993042,2.12666780270643,2.88533861236409,"","Island rule","SP13"
"Granjon and Cheylan 1990","ES47","CC18","Corsica","Cavallo","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",133.369276826353,174.511704787025,6.27084115264281,7.14404212143383,73,12,0.268870017228001,0.000169939644195414,9.2609,41.3687,2.12505579628585,0.0791812460476248,0.398113691730502,0.605576953125,-1.8236754957732,16.7973308563232,2.70583347315897,2.67265192847265,"","Island rule","SP14"
"Granjon and Cheylan 1990","ES48","CC19","Toscana","Corsica","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",163.619864427396,133.369276826353,10.6811349972823,6.27084115264281,21,73,-0.204424039194715,0.000233212964788954,9.12,42.1,2.21383602847649,3.93856975622106,1.90417978339357,0.627191943359375,-1.92281432857012,12.0827579498291,2.78330610180206,2.90464717566751,"","Island rule","SP14"
"Granjon and Cheylan 1990","ES49","CC20","Porouerolles","Langoustier","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",183.554038890517,169.009150212972,11.6057462193671,8.07884972748472,18,22,-0.0825562572781694,0.000325960384142149,6.161471,43.004463,2.2637639450839,-1.69897000433602,-0.995678626217357,0.504853955078125,-1.95759934311425,15.5247030258179,2.71101927562742,2.84042605521599,"","Island rule","SP14"
"Granjon and Cheylan 1990","ES50","CC18","Corsica","Lavezzi","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",133.369276826353,162.025007203518,6.27084115264281,6.00196983206074,73,12,0.194628890464689,0.000144635879408086,9.2543,41.3414,2.12505579628585,-0.180456064458131,0.579897869603104,0.605576953125,-1.8236754957732,16.7973308563232,2.70583347315897,2.67265192847265,"","Island rule","SP14"
"Granjon and Cheylan 1990","ES51","CC21","Provance ","Le Grand Congloue ","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",169.009150212972,203.146731495039,9.83554106607757,11.7822930412318,21,11,0.183975676453753,0.000467078083816105,5.4012,43.176,2.2279102181014,-1.69897000433602,0.556423121371285,0.464302978515625,-2.13713544836782,14.3566493988037,2.76470490564852,2.79629672310343,"","Island rule","SP14"
"Granjon and Cheylan 1990","ES52","CC21","Provance ","Le Levant","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",169.009150212972,197.977215263756,10.4629308298607,10.3692169981557,21,10,0.158199092918089,0.00045682427321507,6.466634,43.027209,2.2279102181014,0.954242509439325,0.977769318091574,0.636250390625,-2.07633531169966,15.6719493865967,2.69427791214453,2.87644880097044,"","Island rule","SP14"
"Granjon and Cheylan 1990","ES53","CC18","Corsica","Piana di Cavallo Island","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",133.369276826353,170.100565638383,6.27084115264281,5.07878611934547,73,21,0.243268026416434,7.27353813407009e-05,9.2286,41.3724,2.12505579628585,-1.22184874961636,-0.521433504406157,0.605576953125,-1.8236754957732,16.7973308563232,2.70583347315897,2.67265192847265,"","Island rule","SP14"
"Granjon and Cheylan 1990","ES54","CC21","Provance ","Porouerolles","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",169.009150212972,183.554038890517,10.4629308298607,11.6057462193671,21,18,0.0825562572781694,0.000404600287274934,6.21,42.995,2.2279102181014,1.17860289034059,0.431524584187451,0.626948779296875,-1.62712371587005,15.75,2.68807411270653,2.8668778143375,"","Island rule","SP14"
"Granjon and Cheylan 1990","ES55","CC21","Provance ","Port Cross","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",169.009150212972,187.312084291833,10.4629308298607,11.7482634365858,21,64,0.102823269015466,0.000243967844640962,6.397491,43.005292,2.2279102181014,0.845098040014257,0.926393900269682,0.60297421875,-1.96512730130185,15.4641494750977,2.69982304346984,2.86642912061118,"","Island rule","SP14"
"Granjon and Cheylan 1990","ES56","CC18","Corsica","Ratino","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",133.369276826353,173.679058976759,6.27084115264281,7.79984009205582,73,14,0.264087309103025,0.000174345943564251,9.246,41.375,2.12505579628585,-1.52287874528034,0.17638069224327,0.605576953125,-1.8236754957732,16.7973308563232,2.70583347315897,2.67265192847265,"","Island rule","SP14"
"Granjon and Cheylan 1990","ES57","CC21","Provance ","Riou","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",169.009150212972,178.713591759416,10.4629308298607,10.1564555227216,21,8,0.0558316216338216,0.000586220726163123,5.387133,43.176057,2.2279102181014,-0.0362121726544447,0.501196242027089,0.375972387695312,-1.97461733932265,15.1357183456421,2.71392531060883,2.76252851328762,"","Island rule","SP14"
"Granjon and Cheylan 1990","ES58","CC22","Sardinia","Santa Maria (Sardinia)","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",128.748236086439,180.128589250568,6.49409341769331,10.2786944843149,6,9,0.335812141413793,0.000785836119843627,9.3753,41.2989,2.10974128770799,0.301029995663981,0.982316469692065,0.51837880859375,-1.85084951077675,16.9407997131348,2.7311562213374,2.65624197847941,"","Island rule","SP14"
"Granjon and Cheylan 1990","ES59","CC19","Toscana","Sardinia","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",163.619864427396,128.748236086439,10.6811349972823,6.49409341769331,21,6,-0.239686998352613,0.000626965188632768,9.034,40.029,2.21383602847649,4.37717871299024,2.33041580275792,0.58357021484375,-1.73602243300022,14.6707763671875,2.7816091878622,2.79781594063974,"","Island rule","SP14"
