"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","Paired","NDVI_0.1","SDNDVI_0.1","tmean_0.1","tseas_0.1","prec_0.1","NDVI_0.5","SDNDVI_0.5","tmean_0.5","tseas_0.5","prec_0.5","NDVI_1","SDNDVI_1","tmean_1","tseas_1","prec_1","NDVI","SDNDVI","tmean","tseas","prec","pseas","Mean_m_pooled","Mean_i_pooled","sd_m_combined","sd_i_combined"
"Case and Schwaner 1993","Western Australia","Bernier Island","Reptiles","Squamata","Varanidae","Varanus acanthurus","Varanus acanthurus","Varanus acanthurus","","Both","SVL",169.824,141.254,NA,NA,63,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.1667,-24.8667,1.60205999132796,1.67210709814554,"LOG10(Weight, g)= LOG10(SVL, mm)*3.235-5.301, Feldman et al 2015","","Island rule","Yes",0.216406225585938,0.0115944686889648,22.2338943481445,378.883148193359,249.199996948242,0.198125122070313,0.0129949554443359,22.2889137268066,381.187866210938,247.126663208008,0.197132678222656,0.0197070404052734,23.4241638183594,468.967193603516,240.653594970703,0.216406225585938,-1.89982014895331,22.2338943481445,2.57850528933572,2.39654803266867,NA,169.824,141.254,NA,NA
"Case and Schwaner 1993","Western Australia","Bernier Island","Reptiles","Squamata","Varanidae","Varanus gouldii","Varanus gouldii","Varanus gouldii","","Both","SVL",296.483,283.792,NA,NA,71,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.1667,-24.8667,1.60205999132796,1.67210709814554,"LOG10(Weight, g)= LOG10(SVL, mm)*3.235-5.301, Feldman et al 2015","","Island rule","Yes",0.216406225585938,0.0115944686889648,22.2338943481445,378.883148193359,249.199996948242,0.198125122070313,0.0129949554443359,22.2889137268066,381.187866210938,247.126663208008,0.197132678222656,0.0197070404052734,23.4241638183594,468.967193603516,240.653594970703,0.216406225585938,-1.89982014895331,22.2338943481445,2.57850528933572,2.39654803266867,NA,296.483,283.792,NA,NA
"Case and Schwaner 1993","Western Australia","Wardang","Reptiles","Squamata","Varanidae","Varanus gouldii","Varanus gouldii","Varanus gouldii","","Both","SVL",296.483,389.045,NA,NA,71,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.367,-34.496,1.3059958827708,0.591175950311791,"LOG10(Weight, g)= LOG10(SVL, mm)*3.235-5.301, Feldman et al 2015","","Island rule","Yes",0.338341967773438,0.0292771331787109,16.7944450378418,373.679931640625,361,0.320749267578125,0.0317000122070313,16.9525966644287,396.298370361328,357.157989501953,0.381676220703125,0.0278275299072266,16.7276802062988,408.997589111328,402.211242675781,0.338341967773438,-1.518885248842,16.7944450378418,2.5724997748318,2.55750720190566,NA,296.483,389.045,NA,NA
"Case and Schwaner 1993","South Australia","Kangaroo","Reptiles","Squamata","Varanidae","Varanus rosenbergi","Varanus rosenbergi","Varanus rosenbergi","","Both","SVL",346.737,398.107,NA,NA,10,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.207,-35.819,3.64394591274807,1.13036593726521,"LOG10(Weight, g)= LOG10(SVL, mm)*3.235-5.301, Feldman et al 2015","","Island rule","Yes",0.589648583984375,0.0198739791870117,15.294020652771,329.326232910156,641.150024414062,0.543502099609375,0.016977262878418,15.3680982589722,316.102264404297,616.402526855469,0.485036669921875,0.0192640289306641,15.7639455795288,325.165893554688,532.760314941406,0.543502099609375,-1.74527643091695,15.3680982589722,2.49982760692711,2.78986441037918,NA,346.737,398.107,NA,NA
"Case and Schwaner 1993","South Australia","Reevesby","Reptiles","Squamata","Varanidae","Varanus rosenbergi","Varanus rosenbergi","Varanus rosenbergi","","Both","SVL",346.737,497.737,NA,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.059,-34.965,0.53655844257153,0.672190251188253,"LOG10(Weight, g)= LOG10(SVL, mm)*3.235-5.301, Feldman et al 2015","","Island rule","Yes",0.516161083984375,0.00801439208984375,15.9788255691528,249.638000488281,426.600006103516,0.399219970703125,0.0242050109863281,16.3287448883057,285.565673828125,396.287506103516,0.384418969726563,0.0277668212890625,16.6056995391846,333.998565673828,373.379364013672,0.516161083984375,-2.04506355578887,15.9788255691528,2.39731069537823,2.63002085732701,NA,346.737,497.737,NA,NA
"Case and Schwaner 1993","South Australia","Spilsby","Reptiles","Squamata","Varanidae","Varanus rosenbergi","Varanus rosenbergi","Varanus rosenbergi","","Both","SVL",346.737,420.727,NA,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.343,-34.662,0.602059991327962,1.39795738010389,"LOG10(Weight, g)= LOG10(SVL, mm)*3.235-5.301, Feldman et al 2015","","Island rule","Yes",0.41536533203125,0.0305873413085938,16.4848957061768,295.305358886719,379.660003662109,0.399219970703125,0.0242050109863281,16.3287448883057,285.565673828125,396.287506103516,0.384418969726563,0.0277668212890625,16.6056995391846,333.998565673828,373.379364013672,0.41536533203125,-1.50048692691533,16.4848957061768,2.47027132814968,2.57939484759077,NA,346.737,420.727,NA,NA
"Case and Schwaner 1993","South Australia","Taylor","Reptiles","Squamata","Varanidae","Varanus rosenbergi","Varanus rosenbergi","Varanus rosenbergi","","Both","SVL",346.737,348.337,NA,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.007,-34.878,0.385606273598312,0.431524584187451,"LOG10(Weight, g)= LOG10(SVL, mm)*3.235-5.301, Feldman et al 2015","","Island rule","Yes",0.487654052734375,0.0101188377380371,16.0339450836182,263.528289794922,425.079986572266,0.399219970703125,0.0242050109863281,16.3287448883057,285.565673828125,396.287506103516,0.384418969726563,0.0277668212890625,16.6056995391846,333.998565673828,373.379364013672,0.487654052734375,-1.95394060756851,16.0339450836182,2.4208272436182,2.62847065818793,NA,346.737,348.337,NA,NA
"Case and Schwaner 1993","South Australia","Thistle Island","Reptiles","Squamata","Varanidae","Varanus rosenbergi","Varanus rosenbergi","Varanus rosenbergi","","Both","SVL",346.737,375.837,NA,NA,10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.162,-35,1.59383966108127,0.875119165462568,"LOG10(Weight, g)= LOG10(SVL, mm)*3.235-5.301, Feldman et al 2015","","Island rule","Yes",0.468892236328125,0.0117790679931641,15.8306970596313,267.472229003906,417.899993896484,0.45721259765625,0.0216653121948242,15.8786106109619,241.795837402344,440.839996337891,0.527308740234375,0.0163410095214844,15.3274841308594,279.039520263672,591.263122558594,0.468892236328125,-1.89350081911861,15.8306970596313,2.42727869694992,2.62107236480067,NA,346.737,375.837,NA,NA
"Donihue et al. 2016","Naxos","Fidussa","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.1850000002,9.78437500125,1.15770871703442,1.17531310262371,20,32,9.666666667,8.790909091,1.142365966,1.059674049,9,11,10.63529412,8.82,0.86814542,0.56719863,17,15,25.5206,36.847,-0.199282921717615,-1.29242982390206,"Weight","","Island rule","Yes",0.312776782226563,0.0149029800415039,18.2367725372314,497.69775390625,434.200012207031,0.340255444335938,0.0138239898681641,17.9352016448975,526.420166015625,497.552001953125,0.312372290039063,0.0162476608276367,18.0819339752197,518.550048828125,481.985626220703,0.312776782226563,-1.79852148610014,18.2367725372314,2.6969656807916,2.63768983132809,NA,9.1850000002,9.78437500125,1.15770871703442,1.17531310262371
"Donihue et al. 2016","Naxos","Glaronissi","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.1850000002,11.6428571440816,1.15770871703442,1.55884572608692,20,49,9.666666667,8.790909091,1.142365966,1.059674049,9,11,12.7,10.70769231,1.340624007,1.070671967,23,26,25.3507,37.0468,-1.99139982823808,0.137037454789513,"Weight","","Island rule","Yes",0.406070727539063,0.009926416015625,18.0778045654297,520.281005859375,414.600006103516,0.34372578125,0.0170391326904297,17.9616088867188,531.522705078125,421.834991455078,0.325055810546875,0.0206905349731445,17.6944160461426,543.765991210938,449.843139648438,0.406070727539063,-1.9615222680489,18.0778045654297,2.71623797119483,2.61762930415129,NA,9.1850000002,11.6428571440816,1.15770871703442,1.55884572608692
"Donihue et al. 2016","Naxos","Gramvoussa","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.1850000002,11.02400000244,1.15770871703442,1.39052747896492,20,25,9.666666667,8.790909091,1.142365966,1.059674049,9,11,11.71666667,9.242857143,0.921794924,0.431497945,18,7,25.7452,36.8071,-0.11975822410452,-0.600326278518962,"Weight","","Island rule","Yes",0.366953100585937,0.0132478057861328,18.0333595275879,517.415100097656,493.100006103516,0.340255444335938,0.0138239898681641,17.9352016448975,526.420166015625,497.552001953125,0.312372290039063,0.0162476608276367,18.0819339752197,518.550048828125,481.985626220703,0.366953100585937,-1.84625201343432,18.0333595275879,2.71383909889424,2.69293500790677,NA,9.1850000002,11.02400000244,1.15770871703442,1.39052747896492
"Donihue et al. 2016","Naxos","Irakleia","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.1850000002,10.0444444435,1.15770871703442,1.55041634607503,20,18,9.666666667,8.790909091,1.142365966,1.059674049,9,11,11.32222222,8.766666667,1.0207568,0.626498204,9,9,25.4513,36.8404,1.257150382057,0.740441644949766,"Weight","","Island rule","Yes",0.331600634765625,0.00943043975830078,17.9203987121582,496.301330566406,438.510009765625,0.340312255859375,0.0150059341430664,17.9371337890625,513.648681640625,444.898132324219,0.312372290039063,0.0162476608276367,18.0819339752197,518.550048828125,481.985626220703,0.331600634765625,-1.98169738087574,17.9203987121582,2.69574543952711,2.64197951135396,NA,9.1850000002,10.0444444435,1.15770871703442,1.55041634607503
"Donihue et al. 2016","Naxos","Kisiri","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.1850000002,9.81666666666666,1.15770871703442,0.930949336331624,20,24,9.666666667,8.790909091,1.142365966,1.059674049,9,11,10.45,8.93,0.563983088,0.507827617,14,10,25.7399,36.7907,-1.92081875395238,-0.954677021213343,"Weight","","Island rule","Yes",0.3687666015625,0.0130037322998047,18.1059532165527,514.656616210938,494.5,0.340255444335938,0.0138239898681641,17.9352016448975,526.420166015625,497.552001953125,0.312372290039063,0.0162476608276367,18.0819339752197,518.550048828125,481.985626220703,0.3687666015625,-1.85375619995134,18.1059532165527,2.71151756025658,2.6941662959332,NA,9.1850000002,9.81666666666666,1.15770871703442,0.930949336331624
"Donihue et al. 2016","Naxos","Mando","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.1850000002,10.9245901632131,1.15770871703442,1.61644215606169,20,61,9.666666667,8.790909091,1.142365966,1.059674049,9,11,11.81142857,9.730769231,1.324158207,1.141496993,35,26,25.3615,37.089,-1.60205999132796,-1.38721614328026,"Weight","","Island rule","Yes",0.406070727539063,0.009926416015625,18.0778045654297,520.281005859375,414.600006103516,0.34372578125,0.0170391326904297,17.9616088867188,531.522705078125,421.834991455078,0.325055810546875,0.0206905349731445,17.6944160461426,543.765991210938,449.843139648438,0.406070727539063,-1.9615222680489,18.0778045654297,2.71623797119483,2.61762930415129,NA,9.1850000002,10.9245901632131,1.15770871703442,1.61644215606169
"Donihue et al. 2016","Naxos","Nikouria","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.1850000002,9.98400000016,1.15770871703442,1.29733059249352,20,25,9.666666667,8.790909091,1.142365966,1.059674049,9,11,10.675,8.755555556,1.01882285,0.671027405,16,9,25.9095,36.885,0.439332693830263,-0.442492798094342,"Weight","","Island rule","Yes",0.359942163085938,0.00966452713012695,17.51589012146,540.997680664062,558.869995117188,0.340255444335938,0.0138239898681641,17.9352016448975,526.420166015625,497.552001953125,0.312372290039063,0.0162476608276367,18.0819339752197,518.550048828125,481.985626220703,0.359942163085938,-1.972058396598,17.51589012146,2.73319540322679,2.74731079362944,NA,9.1850000002,9.98400000016,1.15770871703442,1.29733059249352
"Donihue et al. 2016","Naxos","Panagia","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.1850000002,12.0363636378788,1.15770871703442,2.16460420650477,20,33,9.666666667,8.790909091,1.142365966,1.059674049,9,11,13.88571429,10.67368421,1.531141928,1.420032122,14,19,25.3606,37.0289,-2.39794000867204,-0.442492798094342,"Weight","","Island rule","Yes",0.406070727539063,0.009926416015625,18.0778045654297,520.281005859375,414.600006103516,0.34372578125,0.0170391326904297,17.9616088867188,531.522705078125,421.834991455078,0.325055810546875,0.0206905349731445,17.6944160461426,543.765991210938,449.843139648438,0.406070727539063,-1.9615222680489,18.0778045654297,2.71623797119483,2.61762930415129,NA,9.1850000002,12.0363636378788,1.15770871703442,2.16460420650477
"Donihue et al. 2016","Naxos","Schoinoussa","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.1850000002,11.2130434773913,1.15770871703442,1.42710907870796,20,23,9.666666667,8.790909091,1.142365966,1.059674049,9,11,12.41818182,10.10833333,0.487479603,1.036127698,11,12,25.5215,36.874,0.945960703577569,0.748265572668741,"Weight","","Island rule","Yes",0.312776782226563,0.0149029800415039,18.2367725372314,497.69775390625,434.200012207031,0.340255444335938,0.0138239898681641,17.9352016448975,526.420166015625,497.552001953125,0.312372290039063,0.0162476608276367,18.0819339752197,518.550048828125,481.985626220703,0.312776782226563,-1.79852148610014,18.2367725372314,2.6969656807916,2.63768983132809,NA,9.1850000002,11.2130434773913,1.15770871703442,1.42710907870796
"Garces-Restrepo et al 2013","Colombia (Chucheros)","Palma Isla","Reptiles","Testudines","Geoemydidae","Rhinoclemmys nasuta","Rhinoclemmys nasuta","Rhinoclemmys nasuta","Herbivorous","Both","SCL",176.2775,167.195967741935,NA,NA,24,124,158.69,186.83,NA,NA,9,15,149.32,180.54,NA,NA,53,71,-77.358,3.907,0.139879086401236,0.146438135285775,"LOG10(Weight, g)= LOG10(SCL, mm)*2.677-3.855, own allometry, data from Regis and Meik 2017, N = 692, r2= 0.95","","Island rule","Yes",0.622331298828125,0.0282127563476563,25.7628002166748,29.5374622344971,6143.5400390625,0.68783798828125,0.0255460494995117,26.0499362945557,26.4142456054688,4913.79150390625,0.70104052734375,0.0331571319580078,25.828275680542,25.8243312835693,4941.55517578125,0.622331298828125,-1.53442746356389,25.7628002166748,1.47037317936797,3.78841869303017,NA,176.2775,167.195967741935,NA,NA
"Garcia-Porta et al. 2015","Oman","Abd-al-Kuri","Reptiles","Squamata","Gekkonidae","Hemidactylus inexpectatus","Hemidactylus inexpectatus","Hemidactylus oxyrhinus","","unsexed","SVL",38.46666667,42.32888889,4.799444412,4.247588859,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2383,12.1858,2.12385164096709,1.98137004240021,"LOG10(Weight, g)= LOG10(SVL, mm)*2.761-4.242, Feldman et al 2015","Phylogeny: Garcia-Porta, J., Šmíd, J., Sol, D., Fasola, M., & Carranza, S. (2016). Testing the island effect on phenotypic diversification: insights from the Hemidactylus geckos of the Socotra Archipelago. Scientific Reports, 6(1), 1-12.","Island rule","Yes",0.111168688964844,0.00942091751098633,25.0990695953369,124.115455627441,58.5999984741211,0.080954443359375,0.00851416931152344,25.230260848999,122.633293151855,55.3236351013184,0.0798594116210938,0.0100637054443359,25.2118034362793,124.303527832031,56.7630767822266,0.111168688964844,-1.98209404184108,25.0990695953369,2.09382586591264,1.76789760470954,NA,38.46666667,42.32888889,4.799444412,4.247588859
"Garcia-Porta et al. 2015","Oman","Abd-al-Kuri","Reptiles","Squamata","Gekkonidae","Hemidactylus inexpectatus","Hemidactylus inexpectatus","Hemidactylus forbesii","","unsexed","SVL",38.46666667,82.35,4.799444412,6.26007759,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2383,12.1858,2.12385164096709,1.98137004240021,"LOG10(Weight, g)= LOG10(SVL, mm)*2.761-4.242, Feldman et al 2015","Phylogeny: Garcia-Porta, J., Šmíd, J., Sol, D., Fasola, M., & Carranza, S. (2016). Testing the island effect on phenotypic diversification: insights from the Hemidactylus geckos of the Socotra Archipelago. Scientific Reports, 6(1), 1-12.","Island rule","Yes",0.111168688964844,0.00942091751098633,25.0990695953369,124.115455627441,58.5999984741211,0.080954443359375,0.00851416931152344,25.230260848999,122.633293151855,55.3236351013184,0.0798594116210938,0.0100637054443359,25.2118034362793,124.303527832031,56.7630767822266,0.111168688964844,-1.98209404184108,25.0990695953369,2.09382586591264,1.76789760470954,NA,38.46666667,82.35,4.799444412,6.26007759
"Garcia-Porta et al. 2015","Oman","Abd-al-Kuri","Reptiles","Squamata","Gekkonidae","Hemidactylus masirahensis","Hemidactylus masirahensis","Hemidactylus oxyrhinus","","unsexed","SVL",36.48571429,42.32888889,6.268819286,4.247588859,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2383,12.1858,2.12385164096709,1.98137004240021,"LOG10(Weight, g)= LOG10(SVL, mm)*2.761-4.242, Feldman et al 2015","Phylogeny: Garcia-Porta, J., Šmíd, J., Sol, D., Fasola, M., & Carranza, S. (2016). Testing the island effect on phenotypic diversification: insights from the Hemidactylus geckos of the Socotra Archipelago. Scientific Reports, 6(1), 1-12.","Island rule","Yes",0.111168688964844,0.00942091751098633,25.0990695953369,124.115455627441,58.5999984741211,0.080954443359375,0.00851416931152344,25.230260848999,122.633293151855,55.3236351013184,0.0798594116210938,0.0100637054443359,25.2118034362793,124.303527832031,56.7630767822266,0.111168688964844,-1.98209404184108,25.0990695953369,2.09382586591264,1.76789760470954,NA,36.48571429,42.32888889,6.268819286,4.247588859
"Garcia-Porta et al. 2015","Oman","Abd-al-Kuri","Reptiles","Squamata","Gekkonidae","Hemidactylus masirahensis","Hemidactylus masirahensis","Hemidactylus forbesii","","unsexed","SVL",36.48571429,82.35,6.268819286,6.26007759,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2383,12.1858,2.12385164096709,1.98137004240021,"LOG10(Weight, g)= LOG10(SVL, mm)*2.761-4.242, Feldman et al 2015","Phylogeny: Garcia-Porta, J., Šmíd, J., Sol, D., Fasola, M., & Carranza, S. (2016). Testing the island effect on phenotypic diversification: insights from the Hemidactylus geckos of the Socotra Archipelago. Scientific Reports, 6(1), 1-12.","Island rule","Yes",0.111168688964844,0.00942091751098633,25.0990695953369,124.115455627441,58.5999984741211,0.080954443359375,0.00851416931152344,25.230260848999,122.633293151855,55.3236351013184,0.0798594116210938,0.0100637054443359,25.2118034362793,124.303527832031,56.7630767822266,0.111168688964844,-1.98209404184108,25.0990695953369,2.09382586591264,1.76789760470954,NA,36.48571429,82.35,6.268819286,6.26007759
