"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type"
"Hernández-Salinas et al. 2014","ES11","CC8","Xametla, Mexico","Cocinas","Reptiles","Squamata","Teiidae","Aspidoscelis lineattissima","Aspidoscelis lineattissima","Aspidoscelis lineattissima","Carnivorous","Both","SVL",13.4137077324697,14.1694289656321,1.67585532039996,1.39681125181127,68,66,0.0548096048700291,0.000376784610527727,-105.105,19.548,1.12754883938659,-0.494850021680094,0.33665982345442,0.57930107421875,-1.53922168553381,25.5242710113525,2.34325198657263,2.93661929838135,"Conspecific","Island rule"
"Perez-Ramos et al. 2010","ES12","CC9","Mexico","South Padre","Reptiles","Squamata","Teiidae","Aspidoscelis sexlineata","Aspidoscelis sexlineata stephensae","Aspidoscelis sexlineata stephensae","Carnivorous","Both","SVL",5.72873280610513,4.70841959416064,0.116714420497897,0.434230378484977,9,9,-0.196142046421973,0.000991154328837939,-97.171,26.143,0.758058566787886,0.740362689494244,0.477265995424853,0.157952124023438,-1.85973620096332,22.3656787872314,2.70020459814121,2.84142829213596,"Conspecific","Island rule"
"Keehn et al 2013","ES13","CC10","Mainland Pyramid Lake","Anaho Island (Lake)","Reptiles","Squamata","Teiidae","Aspidoscelis tigris","Aspidoscelis tigris","Aspidoscelis tigris","Carnivorous","Both","SVL",15.1332522100733,12.0123992998538,1.97809357293425,1.21129444429122,180,45,-0.230955064482316,0.000320877598368256,-119.5131,39.9513,1.17993227006617,0.409933123331295,0.000434077479318593,0.11385830078125,-2.08378078419851,11.3124732971191,2.86135939870334,2.34995711056098,"Conspecific","Island rule"
"Boback 2006","ES14","CC11","Belize","Crawl Cay","Reptiles","Squamata","Boidae","Boa constrictor","Boa constrictor","Boa constrictor","Carnivorous","Both","SVL",1574.95414870077,1168.78570148763,500.777389818351,60.3553272079678,21,26,-0.298260812036211,0.00491687513333204,-88.216,16.599,3.19726791478841,-0.795880017344075,1.07921743574657,0.7400349609375,-1.75771723069956,25.2384014129639,2.20322742910294,3.38950597959732,"Conspecific","Island rule"
"Boback 2006","ES15","CC11","Belize","False Cay","Reptiles","Squamata","Boidae","Boa constrictor","Boa constrictor","Boa constrictor","Carnivorous","Both","SVL",1574.95414870077,894.62776986962,500.777389818351,126.765848257699,21,9,-0.565573706722332,0.00704519822197347,-88.339,16.6,3.19726791478841,-0.619788758288394,0.17638069224327,0.501460302734375,-1.88991941383836,26.6337299346924,2.20414715171842,3.35230408093196,"Conspecific","Island rule"
"Boback 2006","ES16","CC11","Belize","Lagoon Caye","Reptiles","Squamata","Boidae","Boa constrictor","Boa constrictor","Boa constrictor","Carnivorous","Both","SVL",1574.95414870077,580.256406945902,500.777389818351,146.288271371382,21,12,-0.998511352107265,0.0101109213513545,-88.209,16.63,3.19726791478841,-1.34486156518862,1.07191881036381,0.570219580078125,-1.68292572641572,26.697208404541,2.16984545990202,3.34077118045851,"Conspecific","Island rule"
"Boback 2006","ES17","CC11","Belize","Peter Douglas Cay","Reptiles","Squamata","Boidae","Boa constrictor","Boa constrictor","Boa constrictor","Carnivorous","Both","SVL",1574.95414870077,477.915908997002,500.777389818351,85.4193593003692,21,4,-1.1925466444851,0.0128006869063554,-88.171,16.711,3.19726791478841,-0.958607314841775,1.14304604333759,-0.0594499938964844,-1.75771723069956,26.9241676330566,2.13636286248501,3.33771877180141,"Conspecific","Island rule"
"Boback 2006","ES18","CC11","Belize","West Snake Cay","Reptiles","Squamata","Boidae","Boa constrictor","Boa constrictor","Boa constrictor","Carnivorous","Both","SVL",1574.95414870077,1090.73277889295,500.777389818351,164.068207917511,21,40,-0.367376415338127,0.00537996842752637,-88.567,16.183,3.19726791478841,-1.27164621797877,0.770925614638999,0.7400349609375,-1.75771723069956,25.2384014129639,2.20322742910294,3.38950597959732,"Conspecific","Island rule"
"Schwartz 1966","ES19","CC12","Puerto Rico","Anegada Island","Reptiles","Squamata","Dipsadidae","Borikenophis portoricensis","Alsophis portoricensis portoricensis","Alsophis portoricensis anegadae","Carnivorous","Both","SVL",196.928651499736,87.34714702604,20.923984628831,3.95284273037523,2,2,-0.812951113369491,0.00666868178422994,-64.334,18.732,2.29430890701165,1.57978359661681,2.12385490632685,0.417148681640625,-1.78759982060311,26.6708374023438,1.97539762124998,3.01870049866624,"Conspecific","No island rule"
"Schwartz 1966","ES20","CC12","Puerto Rico","Vieques","Reptiles","Squamata","Dipsadidae","Borikenophis portoricensis","Alsophis portoricensis portoricensis","Alsophis portoricensis aphantus","Carnivorous","Both","SVL",196.928651499736,86.0407994709895,87.7933087753867,7.76628140043859,2,3,-0.828019891799626,0.102090305139611,-65.433,18.124,2.29430890701165,2.13033376849501,1.01287938717129,0.68557041015625,-1.89122651410568,25.990701675415,2.10249038579185,3.11190072106014,"Conspecific","No island rule"
"Schwartz 1966","ES21","CC12","Puerto Rico","Caja de Muerto Islands","Reptiles","Squamata","Dipsadidae","Borikenophis portoricensis","Alsophis portoricensis portoricensis","Alsophis portoricensis prymnus","Carnivorous","Both","SVL",196.928651499736,68.219193765329,20.923984628831,2.1250729645524,2,2,-1.06011552924483,0.0061298832584687,-66.519,17.894,2.29430890701165,0.187520720836463,0.924330984708678,0.66681103515625,-1.40746693094917,26.6354160308838,2.06363448504826,2.91907809237607,"Conspecific","No island rule"
"Schwartz 1966","ES22","CC12","Puerto Rico","Saint Thomas","Reptiles","Squamata","Dipsadidae","Borikenophis portoricensis","Alsophis portoricensis portoricensis","Alsophis portoricensis richardi","Carnivorous","Both","SVL",196.928651499736,125.049709817316,20.923984628831,17.4633050250999,2,2,-0.454130151220816,0.01539588892322,-64.946,18.351,2.29430890701165,1.91907809237607,1.77670844637722,0.66653251953125,-1.95023510720957,26.0348491668701,2.07321836778508,3.0334277806405,"Conspecific","No island rule"
"Schwartz 1966","ES23","CC12","Puerto Rico","Mona","Reptiles","Squamata","Dipsadidae","Borikenophis portoricensis","Alsophis portoricensis portoricensis","Alsophis portoricensis variegatus","Carnivorous","Both","SVL",196.928651499736,55.2101593903801,20.923984628831,1.86795253148926,2,2,-1.27169450473282,0.0062170540428508,-67.896,18.0868,2.29430890701165,1.75587485567249,1.82802151728869,0.651172607421875,-1.81036981335745,26.1889152526855,2.08879191772989,3.0069620839173,"Conspecific","No island rule"
"Keehn et al 2013","ES24","CC13","Mainland Pyramid Lake","Anaho Island (Lake)","Reptiles","Squamata","Phrynosomatidae","Callisaurus draconoides","Callisaurus draconoides","Callisaurus draconoides","Carnivorous","Both","SVL",10.9902010073045,12.4369704498375,1.56308425855331,1.55422512138795,323,39,0.123669466413921,0.000463062318426906,-119.5131,39.9513,1.04100563560501,0.409933123331295,0.000434077479318593,0.11385830078125,-2.08378078419851,11.3124732971191,2.86135939870334,2.34995711056098,"Conspecific","Island rule"
"Lo Cascio et al 2008","ES25","CC14","Tunisia","Conigli","Reptiles","Squamata","Scincidae","Chalcides ocellatus","Chalcides ocellatus","Chalcides ocellatus","Carnivorous","Unsexed","SVL",25.8872417029829,6.3153315040703,5.01647897966654,0.307456928487633,16,15,-1.41076999986768,0.00250497429543243,12.5588,35.5098,1.41308577863144,-1.35654732351381,2.11394669302077,0.316665649414062,-1.68387454451099,19.1458415985107,2.6923039075568,2.50487844283284,"Conspecific","No island rule"
"Lo Cascio et al 2008","ES26","CC14","Tunisia","Lampedusa","Reptiles","Squamata","Scincidae","Chalcides ocellatus","Chalcides ocellatus","Chalcides ocellatus","Carnivorous","Unsexed","SVL",25.8872417029829,12.9813118906228,5.01647897966654,0.368942548470333,16,49,-0.6902394726741,0.0023634489595363,12.5731,35.5156,1.41308577863144,1.30535136944662,2.1043197801057,0.316665649414062,-1.68387454451099,19.1458415985107,2.6923039075568,2.50487844283284,"Conspecific","No island rule"
"Lo Cascio et al 2008","ES27","CC15","Lampedusa","Conigli","Reptiles","Squamata","Scincidae","Chalcides ocellatus","Chalcides ocellatus","Chalcides ocellatus","Carnivorous","Unsexed","Weight",12.38,6.76,1.11,1.05,33,8,-0.605059377201577,0.0032593567271455,12.5588,35.5098,1.0927206446841,-1.35654732351381,-1.21467016498923,0.316665649414062,-1.68387454451099,19.1458415985107,2.6923039075568,2.50487844283284,"Conspecific","No island rule"
"Rhodin 1994b, Kuchling et al. 2007","ES28","CC16","East Timor","Roti","Reptiles","Testudines","Chelidae","Chelodina mccordi","Chelodina mccordi timorlestensis","Chelodina mccordi mccordi","Carnivorous","Both","SCL",1006.75688165292,884.134797219263,183.203696626296,114.094482432407,9,15,-0.129879898666353,0.00478959735849919,123.1587,-10.7311,3.00292460689499,3.07918124604762,1.04457895487661,0.560354638671875,-1.66738311526369,27.0533466339111,1.94452717490932,3.11199154784175,"Conspecific","No island rule"
"Hofmeyr 2004, Van Heezik et al 1994","ES29","CC17","South Africa","Dassen","Reptiles","Testudines","Testudinidae","Chersina angulata","Chersina angulata","Chersina angulata","Omnivorous","Both","Weight",913.047619047619,865.654945054945,132.988965608732,196.467385151964,21,182,-0.0533016535708798,0.00129326298995316,18.088,-33.424,2.96049342830135,0.414973347970818,0.934548947666147,0.357748486328125,-1.68608443235962,15.5051107406616,2.16421407915027,2.58061711136141,"Conspecific","Island rule"
"How et al. 2020, Donnellan et al. 2000","ES30","CC18","W Australia","East Wallabi","Reptiles","Squamata","Gekkonidae","Christinus marmoratus","Christinus marmoratus","Christinus marmoratus","Omnivorous","Both","SVL",2.17972613079168,1.54227791598303,0.172083641904606,0.151275880101144,111,6,-0.345938751072414,0.00165962774462157,113.7265,-28.4359,0.338401930596505,0.506505032404872,1.74037058568577,0.24894345703125,-1.80139702136659,21.1591148376465,2.45209457812124,2.58052582716565,"Conspecific","Island rule"
"How et al. 2020, Donnellan et al. 2000","ES31","CC18","W Australia","Gun","Reptiles","Squamata","Gekkonidae","Christinus marmoratus","Christinus marmoratus","Christinus marmoratus","Omnivorous","Both","SVL",2.17972613079168,2.30194765287159,0.172083641904606,0.204705557778476,111,33,0.054556329361952,0.000295787646143663,113.8595,-28.8861,0.338401930596505,-0.744727494896694,1.84942555653255,0.178922412109375,-1.43845302833648,21.1591148376465,2.45209457812124,2.58052582716565,"Conspecific","Island rule"
"How et al. 2020, Donnellan et al. 2000","ES32","CC18","W Australia","Murray","Reptiles","Squamata","Gekkonidae","Christinus marmoratus","Christinus marmoratus","Christinus marmoratus","Omnivorous","Both","SVL",2.17972613079168,1.8192490076983,0.172083641904606,0.152193320171062,111,10,-0.180775458032491,0.000756003431387012,113.8967,-28.8968,0.338401930596505,0.6232492903979,1.82911714696074,0.178922412109375,-1.43845302833648,21.1591148376465,2.45209457812124,2.58052582716565,"Conspecific","Island rule"
"How et al. 2020, Donnellan et al. 2000","ES33","CC18","W Australia","North (Houtman Abrolhos)","Reptiles","Squamata","Gekkonidae","Christinus marmoratus","Christinus marmoratus","Christinus marmoratus","Omnivorous","Both","SVL",2.17972613079168,1.73925054741786,0.172083641904606,0.165729633314162,111,30,-0.225744940266725,0.000358810165217341,113.5976,-28.299,0.338401930596505,0.257678574869184,1.86694271763019,0.135723791503906,-1.61682409862772,21.1591148376465,2.45209457812124,2.58052582716565,"Conspecific","Island rule"
"How et al. 2020, Donnellan et al. 2000","ES34","CC18","W Australia","Oystercatcher","Reptiles","Squamata","Gekkonidae","Christinus marmoratus","Christinus marmoratus","Christinus marmoratus","Omnivorous","Both","SVL",2.17972613079168,1.89430659903654,0.172083641904606,0.155513218259621,111,4,-0.140346380057881,0.0017410501465912,113.7153,-28.4626,0.338401930596505,-1.33724216831843,1.88536687487076,0.24894345703125,-1.80139702136659,21.1591148376465,2.45209457812124,2.58052582716565,"Conspecific","Island rule"
"How et al. 2020, Donnellan et al. 2000","ES35","CC18","W Australia","Pigeon","Reptiles","Squamata","Gekkonidae","Christinus marmoratus","Christinus marmoratus","Christinus marmoratus","Omnivorous","Both","SVL",2.17972613079168,1.7749080913833,0.172083641904606,0.148936299092688,111,3,-0.20545059874751,0.00240323157512321,113.7272,-28.455,0.338401930596505,-1.36653154442041,1.87239521470664,0.24894345703125,-1.80139702136659,21.1591148376465,2.45209457812124,2.58052582716565,"Conspecific","Island rule"
"How et al. 2020, Donnellan et al. 2000","ES36","CC18","W Australia","Rat","Reptiles","Squamata","Gekkonidae","Christinus marmoratus","Christinus marmoratus","Christinus marmoratus","Omnivorous","Both","SVL",2.17972613079168,1.94910943458747,0.172083641904606,0.160949525358947,111,21,-0.111826672787118,0.000380854347957816,113.595539,-28.300004,0.338401930596505,-0.214670164989233,1.77649052186763,0.178922412109375,-1.43845302833648,21.1591148376465,2.45209457812124,2.58052582716565,"Conspecific","Island rule"
"How et al. 2020, Donnellan et al. 2000","ES37","CC18","W Australia","Seagull","Reptiles","Squamata","Gekkonidae","Christinus marmoratus","Christinus marmoratus","Christinus marmoratus","Omnivorous","Both","SVL",2.17972613079168,1.89792914318968,0.172083641904606,0.179071386994055,111,5,-0.138435873696333,0.00183657007589703,113.7168,-28.4573,0.338401930596505,-1.11350927482752,1.77034381069972,0.24894345703125,-1.80139702136659,21.1591148376465,2.45209457812124,2.58052582716565,"Conspecific","Island rule"
"How et al. 2020, Donnellan et al. 2000","ES38","CC18","W Australia","West Wallabi","Reptiles","Squamata","Gekkonidae","Christinus marmoratus","Christinus marmoratus","Christinus marmoratus","Omnivorous","Both","SVL",2.17972613079168,1.5275046862985,0.172083641904606,0.135566517182591,111,4,-0.355563760819818,0.00202530479423932,113.6946,-28.463,0.338401930596505,0.79309160017658,1.77815848856469,0.296299951171875,-1.6725506385914,21.1591148376465,2.45209457812124,2.58052582716565,"Conspecific","Island rule"
"Montgomery et al. 2011","ES39","CC19","Honduras","Cayo Cochino Pequeño","Reptiles","Squamata","Teiidae","Cnemidophorus lemniscatus","Cnemidophorus lemniscatus","Cnemidophorus lemniscatus","Omnivorous","Both","SVL",12.0721326291744,7.11705978209458,1.3340865474723,0.759104234664734,19,23,-0.528405019734588,0.00113737878634178,-86.499,15.956,1.08178399812292,-0.154901959985743,1.17900570756482,0.714975537109375,-1.12801974246892,27.1416664123535,2.16158306886945,3.32776748990273,"Conspecific","No island rule"
"Montgomery et al. 2011","ES40","CC19","Honduras","Roatan","Reptiles","Squamata","Teiidae","Cnemidophorus lemniscatus","Cnemidophorus lemniscatus","Cnemidophorus lemniscatus","Omnivorous","Both","SVL",12.0721326291744,10.9094819656441,1.3340865474723,1.41305676778733,19,11,-0.101267391725424,0.0021679264822195,-86.4717,16.359,1.08178399812292,1.91907809237607,1.6739511996909,0.746827197265625,-2.00218710933972,27.2101230621338,2.18804276293171,3.37392662785918,"Conspecific","No island rule"
"Montgomery et al. 2011","ES41","CC19","Honduras","Utila","Reptiles","Squamata","Teiidae","Cnemidophorus lemniscatus","Cnemidophorus lemniscatus","Cnemidophorus lemniscatus","Omnivorous","Both","SVL",12.0721326291744,6.92480933986962,1.3340865474723,0.929806880685355,19,35,-0.555789188371731,0.00115786859261108,-86.937,16.0959,1.08178399812292,1.65321251377534,1.52892954903675,0.70825498046875,-1.95339570055386,27.193323135376,2.1955476558481,3.4083213845813,"Conspecific","No island rule"
"Sparkman et al 2018","ES42","CC20","Baja California","Santa Cruz","Reptiles","Squamata","Colubridae","Coluber constrictor","Coluber constrictor","Coluber constrictor mormon","Carnivorous","Both","SVL",38.346451750034,33.1750515350176,7.21098592097259,3.84869628145517,63,97,-0.144863867071103,0.000700054100142328,-119.741,33.997,1.58372518427788,2.46834733041216,1.48573561887981,0.38126806640625,-1.84228073835755,15.2632083892822,2.37044672609679,2.59439255037543,"Conspecific","Island rule"
"Meik et al. 2010","ES43","CC21","Baja California Sur","Carmen","Reptiles","Squamata","Viperidae","Crotalus mitchellii","Crotalus mitchellii mitchellii","Crotalus mitchellii","Carnivorous","Both","SVL",333.375365857619,267.183301281519,148.622997262969,70.2812615574577,68,3,-0.221334135431565,0.0259870236154031,-111.16,25.963,2.52293350530793,2.14872601639815,0.780389328470953,0.24191533203125,-1.56418956615219,22.4473934173584,2.7076476898387,2.36404417115839,"Conspecific","Island rule"
"Meik et al. 2010","ES44","CC21","Baja California Sur","Cerralvo ","Reptiles","Squamata","Viperidae","Crotalus mitchellii","Crotalus mitchellii mitchellii","Crotalus mitchellii","Carnivorous","Both","SVL",333.375365857619,311.228157625548,148.622997262969,81.8670457517839,68,4,-0.0687428109242694,0.0202209626789705,-109.871,24.227,2.52293350530793,2.14665507334097,0.941063988219902,0.25814951171875,-1.49338106749834,22.4731674194336,2.66779481859254,2.46671936263167,"Conspecific","Island rule"
"Meik et al. 2010","ES45","CC21","Baja California Sur","Espitiru Santo","Reptiles","Squamata","Viperidae","Crotalus mitchellii","Crotalus mitchellii mitchellii","Crotalus mitchellii","Carnivorous","Both","SVL",333.375365857619,230.898845097059,148.622997262969,60.7368126965493,68,8,-0.367289365334401,0.0115718712743217,-110.342,24.482,2.52293350530793,1.92469270302019,0.788945727023748,0.181266198730469,-1.70982947538602,22.5944213867188,2.65195333432317,2.36642295722597,"Conspecific","Island rule"
"Meik et al. 2010","ES46","CC21","Baja California Sur","Monserrate","Reptiles","Squamata","Viperidae","Crotalus mitchellii","Crotalus mitchellii mitchellii","Crotalus mitchellii","Carnivorous","Both","SVL",333.375365857619,255.769317305621,148.622997262969,67.2788688578575,68,6,-0.264993145971127,0.014454901742538,-111.036,25.687,2.52293350530793,1.29797924415936,1.13675226632666,0.227284936523438,-1.59133597077193,22.6774921417236,2.69149900970276,2.32081074126382,"Conspecific","Island rule"
"Meik et al. 2010","ES47","CC21","Baja California Sur","Partida Sur","Reptiles","Squamata","Viperidae","Crotalus mitchellii","Crotalus mitchellii mitchellii","Crotalus mitchellii","Carnivorous","Both","SVL",333.375365857619,150.060605298282,148.622997262969,39.4727088102212,68,5,-0.798229832119406,0.016761326117111,-110.386,24.56,2.52293350530793,1.1901915805753,0.788945727023748,0.178865441894531,-1.81432735165144,22.25830078125,2.65439301262295,2.392468308454,"Conspecific","Island rule"
"Meik et al. 2010","ES48","CC21","Baja California Sur","San Jose","Reptiles","Squamata","Viperidae","Crotalus mitchellii","Crotalus mitchellii mitchellii","Crotalus mitchellii","Carnivorous","Both","SVL",333.375365857619,242.90482805268,148.622997262969,63.8949278344011,68,8,-0.316599367417403,0.0115718712743217,-110.619,24.988,2.52293350530793,2.24231776371519,0.619197715792947,0.25600068359375,-1.66856334263473,22.7151756286621,2.67964403203083,2.3985129025401,"Conspecific","Island rule"
"Meik et al. 2010","ES49","CC22","Baja California","Angel de la Guarda","Reptiles","Squamata","Viperidae","Crotalus mitchellii","Crotalus mitchellii pyrrhus","Crotalus mitchellii","Carnivorous","Both","SVL",341.997895760602,546.480175181029,152.467031254126,143.748939187615,246,42,0.468693446689205,0.00245536887264177,-113.401,29.287,2.53402343394394,2.96851563615574,1.08353845123014,0.116362854003906,-1.90815316316854,20.8971824645996,2.69489116866272,1.91724286592538,"Conspecific","Island rule"
"Meik et al. 2010","ES50","CC22","Baja California","Coronado","Reptiles","Squamata","Viperidae","Crotalus mitchellii","Crotalus mitchellii pyrrhus","Crotalus mitchellii","Carnivorous","Both","SVL",341.997895760602,178.249980878274,152.467031254126,46.8877862824143,246,6,-0.651617632277262,0.012340044763669,-113.508706,29.0739,2.53402343394394,0.929418925714293,0.301247088636211,0.0784558166503906,-1.88692123567312,20.6221256256104,2.68629997176064,1.90047635305553,"Conspecific","Island rule"
"Meik et al. 2010","ES51","CC22","Baja California","El Muerto","Reptiles","Squamata","Viperidae","Crotalus mitchellii","Crotalus mitchellii pyrrhus","Crotalus mitchellii","Carnivorous","Both","SVL",341.997895760602,109.19473914383,152.467031254126,28.7231424481121,246,34,-1.14167169848516,0.0028430032213095,-114.549,30.089,2.53402343394394,0.123851640967086,0.530327789778086,0.106122094726563,-1.72158907041267,21.1481266021729,2.71341557807009,1.90746509364509,"Conspecific","Island rule"
"Meik et al. 2010","ES52","CC22","Baja California","El Piojo","Reptiles","Squamata","Viperidae","Crotalus mitchellii","Crotalus mitchellii pyrrhus","Crotalus mitchellii","Carnivorous","Both","SVL",341.997895760602,109.644355777969,152.467031254126,28.841411906244,246,5,-1.13756258565101,0.014646469138242,-113.465,29.018,2.53402343394394,-0.259637310505756,0.416806871822944,0.0794280029296875,-1.71788365104247,19.4624996185303,2.63572138783921,1.95904139232109,"Conspecific","Island rule"
"Keehn et al 2013","ES53","CC23","Mainland Pyramid Lake","Anaho Island (Lake)","Reptiles","Squamata","Viperidae","Crotalus oreganus","Crotalus oreganus","Crotalus oreganus","Carnivorous","Both","SVL",251.583551745465,131.578395455916,45.0168110876612,15.0416263293116,86,75,-0.648172310922688,0.000546538940553151,-119.5131,39.9513,2.40068224400817,0.409933123331295,0.000434077479318593,0.11385830078125,-2.08378078419851,11.3124732971191,2.86135939870334,2.34995711056098,"Conspecific","Island rule"
"Iverson et al. 2004, Knapp et al. 2006","ES54","CC24","Andros","Leaf cay","Reptiles","Squamata","Iguanidae","Cyclura cychlura","Cyclura cychlura cychlura","Cyclura cychlura inornata","Herbivorous","Female","Weight",3006,1244.94,1185,425.283,31,50,-0.881522955346505,0.00734692987172271,-76.8364,24.747,3.47798897625089,-1.39794000867204,1.97772817678565,0.45156767578125,-1.34595034108832,25.6002769470215,2.39040426103747,3.05057307675515,"Conspecific","No island rule"
