"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","Paired"
"O'Connell et al 2019, Clegg, 2002","Brisbane, Australia","Wangi-wangi","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops Wangi-wangi white-eye","","Both","Weight",10.22,14.51,0.9,0.801,29,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.59,-5.3028,160.6,32.65,"Weight","Closest sister species are insular (Zosterops griseotinctus, Zosterops murphyi, Zosterops rennellianus), and next is Zosterops lateralis","No island rule","No"
"Wayne 1991","California","San Clemente","Mammals","Carnivora","Canidae","Urocyon cinereoargenteus","Urocyon cinereoargenteus","Urocyon littoralis","","Female","Weight",3530,1760,NA,NA,9,77,NA,3530,NA,NA,NA,9,NA,1760,NA,NA,NA,77,-118.476,32.89,145,79,"Weight","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","Island rule","Yes"
"Wayne 1991","California","San Miguel","Mammals","Carnivora","Canidae","Urocyon cinereoargenteus","Urocyon cinereoargenteus","Urocyon littoralis","","Female","Weight",3530,2040,NA,NA,9,12,NA,3530,NA,NA,NA,9,NA,2040,NA,NA,NA,12,-120.374,34.038,37,42,"Weight","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","Island rule","Yes"
"Wayne 1991","California","San Nicolas","Mammals","Carnivora","Canidae","Urocyon cinereoargenteus","Urocyon cinereoargenteus","Urocyon littoralis","","Female","Weight",3530,1740,NA,NA,9,20,NA,3530,NA,NA,NA,9,NA,1740,NA,NA,NA,20,-119.502,33.246,58,99,"Weight","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","Island rule","Yes"
"Wayne 1991","California","Santa Catalina (Upper)","Mammals","Carnivora","Canidae","Urocyon cinereoargenteus","Urocyon cinereoargenteus","Urocyon littoralis","","Female","Weight",3530,2060,NA,NA,9,39,NA,3530,NA,NA,NA,9,NA,2060,NA,NA,NA,39,-118.416,33.378,194,33,"Weight","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","Island rule","Yes"
"Wayne 1991","California","Santa Cruz","Mammals","Carnivora","Canidae","Urocyon cinereoargenteus","Urocyon cinereoargenteus","Urocyon littoralis","","Female","Weight",3530,1630,NA,NA,9,13,NA,3530,NA,NA,NA,9,NA,1630,NA,NA,NA,13,-119.741,33.997,294,30.6,"Weight","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","Island rule","Yes"
"Wayne 1991","California","Santa Rosa","Mammals","Carnivora","Canidae","Urocyon cinereoargenteus","Urocyon cinereoargenteus","Urocyon littoralis","","Female","Weight",3530,1870,NA,NA,9,29,NA,3530,NA,NA,NA,9,NA,1870,NA,NA,NA,29,-120.098,33.965,217,43.6,"Weight","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","Island rule","Yes"
"Grinnell et al. 1937","California","Santa Catalina (Upper)","Mammals","Carnivora","Canidae","Urocyon cinereoargenteus","Urocyon cinereoargenteus","Urocyon littoralis catalinae","","Both","Length",548,412.667,34.399,7.895,16,6,555.375,540.625,29.84693093,38.4147944,8,8,478.3333333,347,10.40833,4.041451884,3,3,-118.416,33.378,194,33,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","No island rule","Yes"
"Grinnell et al. 1937","California","San Clemente","Mammals","Carnivora","Canidae","Urocyon cinereoargenteus","Urocyon cinereoargenteus","Urocyon littoralis dickeyi","","Both","Length",548,449,34.399,16.971,16,5,555.375,540.625,29.84693093,38.4147944,8,8,454,444,16.97056275,0,4,1,-118.476,32.89,145,79,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","No island rule","Yes"
"Grinnell et al. 1937","California","San Nicolas","Mammals","Carnivora","Canidae","Urocyon cinereoargenteus","Urocyon cinereoargenteus","Urocyon littoralis dickeyi","","Both","Length",548,458.482,34.399,16.243,16,18,555.375,540.625,29.84693093,38.4147944,8,8,473.75,443.2142857,11.5,17.15171474,4,14,-119.502,33.246,58,99,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","No island rule","Yes"
"Grinnell et al. 1937","California","San Miguel","Mammals","Carnivora","Canidae","Urocyon cinereoargenteus","Urocyon cinereoargenteus","Urocyon littoralis littoralis","","Both","Length",548,482,34.399,17.585,16,12,555.375,540.625,29.84693093,38.4147944,8,8,493.75,470.25,20.96624271,15.91719645,4,8,-120.374,34.038,37,42,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","No island rule","Yes"
"Grinnell et al. 1937","California","Santa Cruz","Mammals","Carnivora","Canidae","Urocyon cinereoargenteus","Urocyon cinereoargenteus","Urocyon littoralis santacruzae","","Both","Skull",119.749,100.443,4.319,1.993,25,8,121.6875,117.8111111,4.176741154,4.573140181,16,9,99.78571429,101.1,1.992844342,0,7,1,-119.741,33.997,294,30.6,"log10(mass,kg) = -7.767 +4.024*log10(Skull mm), r2 = 0.976, Carnivora. Figueirido et al. 2011","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","No island rule","Yes"
"Grinnell et al. 1937","California","Santa Rosa","Mammals","Carnivora","Canidae","Urocyon cinereoargenteus","Urocyon cinereoargenteus","Urocyon littoralis santarosae","","Both","Length",548,466.67,34.399,27.988,16,15,555.375,540.625,29.84693093,38.4147944,8,8,472.7142857,460.625,35.82231281,18.83717828,7,8,-120.098,33.965,217,43.6,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","No island rule","Yes"
"Meiri et al 2006","California S. of 35N, W. of 117W","San Clemente","Mammals","Carnivora","Canidae","Urocyon littoralis","Urocyon cinereoargenteus","Urocyon littoralis","","Female","CBL",115.87,92.57,2.503,2.564,10,5,NA,115.87,NA,2.5,NA,10,NA,92.57,NA,2.564189,NA,5,-118.476,32.89,145,78,"log10(mass,kg) = -5.1807 + 2.848*log10(CBL mm), r2 = 0.88, Van Valkenburgh, Carnivora. CANIDS","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","Island rule","Yes"
"Meiri et al 2006","California S. of 35N, W. of 117W","San Miguel","Mammals","Carnivora","Canidae","Urocyon littoralis","Urocyon cinereoargenteus","Urocyon littoralis","","Both","CBL",117.485,100.11,3.484,1.801,25,9,119.1,115.87,3.99,2.5,15,10,101.58,98.64,NA,2.130624,3,6,-120.374,34.038,37,42,"log10(mass,kg) = -5.1807 + 2.848*log10(CBL mm), r2 = 0.88, Van Valkenburgh, Carnivora. CANIDS","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","Island rule","Yes"
"Meiri et al 2006","California S. of 35N, W. of 117W","Santa Cruz","Mammals","Carnivora","Canidae","Urocyon littoralis","Urocyon cinereoargenteus","Urocyon littoralis","","Male","CBL",119.1,96.57,3.99,2.685,15,5,119.1,115.87,3.99,2.5,15,10,96.57,96.46,2.68,NA,5,1,-119.741,33.997,294,30.6,"log10(mass,kg) = -5.1807 + 2.848*log10(CBL mm), r2 = 0.88, Van Valkenburgh, Carnivora. CANIDS","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","Island rule","Yes"
"Meiri et al 2006","California S. of 35N, W. of 117W","Santa Rosa","Mammals","Carnivora","Canidae","Urocyon littoralis","Urocyon cinereoargenteus","Urocyon littoralis","","Male","CBL",119.1,96.83,3.99,3.263,15,6,119.1,115.87,3.99,2.5,15,10,96.83,97.22,3.26,NA,6,1,-120.098,33.965,217,43.6,"log10(mass,kg) = -5.1807 + 2.848*log10(CBL mm), r2 = 0.88, Van Valkenburgh, Carnivora. CANIDS","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","Island rule","Yes"
"Meiri et al 2006","California S. of 35N, W. of 117W","Santa Catalina (Upper)","Mammals","Carnivora","Canidae","Urocyon littoralis","Urocyon cinereoargenteus","Urocyon littoralis catalinae","","Both","CBL",117.485,100.753,3.484,3.408,25,12,119.1,115.87,3.99,2.5,15,10,100.61,100.9,4.21,2.355678,6,6,-118.416,33.378,194,33,"log10(mass,kg) = -5.1807 + 2.848*log10(CBL mm), r2 = 0.88, Van Valkenburgh, Carnivora. CANIDS","Collins PW (1993) Taxonomic and Biogeographic Relationships of the Island Fox (Urocyon littoralis)
and Gray Fox (U. cinereoargenteus) from Western North America. Third California Islands Symposium:
Recent Advances in Research on the California Islands. Santa Barbara: Santa Barbara Museum of
Natural History. pp. 351–390.","Island rule","Yes"
"Higgins and Peter 2002","NSW, Vic & SA, Australia","Tasmania","Birds","Passeriformes","Acanthizidae","Acanthiza chrysorrhoa","Acanthiza chrysorrhoa leighi","Acanthiza chrysorrhoa leachi","","Both","Weight",9.6,10.35,0.952,0.645,41,13,9.4,9.8,0.9,1.03,25,16,10.4,10.3,0.45,0.82,7,6,146.5,-42.1,63558.9893,240,"Weight","Conspecific","No island rule","Yes"
"Higgins and Peter 2002","SA, Australia","Kangaroo","Birds","Passeriformes","Acanthizidae","Acanthiza lineata","Acanthiza lineata clelandi","Acanthiza lineata whitei","","Male","Weight",7.6,7.7,0.37,0.26,15,5,7.6,NA,0.37,NA,15,NA,7.7,NA,0.26,NA,5,NA,137.207,-35.819,4405,13.5,"Weight","Conspecific","No island rule","Yes"
"Keast 1968","Australia","Tasmania","Birds","Passeriformes","Acanthizidae","Acanthiza pusilla","Acanthiza pusilla","Acanthiza pusilla","","Male","Wing Length",50,54,1.891,1.949,11,10,50,NA,1.890954932,NA,11,NA,54,NA,1.949317739,NA,10,NA,146.5,-42.1,63558.9893,240,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Higgins and Peter 2002","NSW, ACT, Vic, & SA, Australia","Tasmania","Birds","Passeriformes","Acanthizidae","Acanthiza pusilla","Acanthiza pusilla pusilla","Acanthiza pusilla diemenensis","","Both","Weight",6.95,8.15,1.299,0.865,57,37,7.4,6.5,1.52,0.71,37,20,8.6,7.7,0.91,0.8,21,16,146.5,-42.1,63558.9893,240,"Weight","Conspecific","No island rule","Yes"
"Higgins and Peter 2002","NSW, ACT, Vic, & SA, Australia","Kangaroo","Birds","Passeriformes","Acanthizidae","Acanthiza pusilla","Acanthiza pusilla pusilla","Acanthiza pusilla zietzi","","Male","Weight",7.4,7.6,1.52,0.55,37,5,7.4,NA,1.52,NA,37,NA,7.6,NA,0.55,NA,5,NA,137.207,-35.819,4405,13.5,"Weight","Conspecific","No island rule","Yes"
"Rogers et al. 1990","Vic, Australia","Tasmania","Birds","Passeriformes","Meliphagidae","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris tenuirostris","Acanthorhynchus tenuirostris dubius","","Both","Weight",11.2,9.8,0.729,0.675,78,157,11.9,10.5,0.7,0.75,33,45,10.6,9,0.68,0.67,77,80,146.5,-42.1,63558.9893,240,"Weight","Conspecific","No island rule","Yes"
"Ford 1976","s Australia","Kangaroo","Birds","Passeriformes","Meliphagidae","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris halmaturinus","Acanthorhynchus tenuirostris halmaturinus","","Both","Weight",10.4,10,1.321,0.933,16,59,11.5,9.3,1.45,1.05,10,6,10.6,9.4,0.98,0.87,33,26,137.207,-35.819,4405,13.5,"Weight","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter badius","Accipiter badius","Accipiter badius","","Female","Tarsus Length",45.4,40.925,8.586,1.546,4,4,NA,45.4,NA,8.586035173,NA,4,NA,40.925,NA,1.545692941,NA,4,80.714,7.74,65610,90,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter badius","Accipiter badius","Accipiter badius","VertFishScav","Female","Wing Length",194.875,185,13.798,12.987,4,4,NA,194.875,NA,13.79839967,NA,4,NA,185,NA,12.98717316,NA,4,80.714,7.74,65610,90,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Marchant & Higgins, 1993","Australia","Tasmania","Birds","Falconiformes","Accipitridae","Accipiter cirrocephalus","Accipiter cirrocephalus","Accipiter cirrocephalus","","Both","Wing Length",224.5,227,5.049,7.635,72,11,208,241,4.59,5.35,30,42,207,247,1.5,9.29,4,7,146.5,-42.1,63558.9893,240,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Australia","Christmas","Birds","Accipitriformes","Accipitridae","Accipiter fasciatus","Accipiter fasciatus","Accipiter fasciatus","","Female","Tarsus Length",79.438,69.375,4.965,1.978,4,4,NA,79.4375,NA,4.965067136,NA,4,NA,69.375,NA,1.978374754,NA,4,105.6333,-10.4833,135,350,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Australia","Christmas","Birds","Accipitriformes","Accipitridae","Accipiter fasciatus","Accipiter fasciatus","Accipiter fasciatus","VertFishScav","Female","Wing Length",289,259.75,3.162,7.5,4,4,NA,289,NA,3.16227766,NA,4,NA,259.75,NA,7.5,NA,4,105.6333,-10.4833,135,350,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Olsen et al. 1990, Aumann 1986","Vitoria, Australia","Tasmania","Birds","Falconiformes","Accipitridae","Accipiter fasciatus","Accipiter fasciatus fasciatus","Accipiter fasciatus fasciatus","","Both","Weight",439.5,482.5,47.303,69.596,13,29,330,549,46.7,47.8,6,7,351,614,43.9,86.9,14,15,146.5,-42.1,63558.9893,240,"Weight","Conspecific","No island rule","No"
"Pigot et al. 2020","Madagascar","Mayotte","Birds","Accipitriformes","Accipitridae","Accipiter francesiae","Accipiter francesiae","Accipiter francesiae","","Male","Tarsus Length",49.175,44.47,2.57,1.65,4,3,49.175,NA,2.569584921,NA,4,NA,44.47,NA,1.649939393,NA,3,NA,45.152,-12.801,375,300,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Madagascar","Mayotte","Birds","Accipitriformes","Accipitridae","Accipiter francesiae","Accipiter francesiae","Accipiter francesiae","Invertebrate","Male","Wing Length",159,140.667,4.243,1.155,4,3,159,NA,4.242640687,NA,4,NA,140.6666667,NA,1.154700538,NA,3,NA,45.152,-12.801,375,300,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","France","Great Britain","Birds","Accipitriformes","Accipitridae","Accipiter nisus","Accipiter nisus","Accipiter nisus","","Male","Tarsus Length",50.96,50.31,4.577,6.121,4,4,50.96,NA,4.577189822,NA,4,NA,50.31,NA,6.120599099,NA,4,NA,-1.6,53.186,209330.9999,32.5,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","France","Great Britain","Birds","Accipitriformes","Accipitridae","Accipiter nisus","Accipiter nisus","Accipiter nisus","VertFishScav","Male","Wing Length",196,197.25,11.747,2.5,4,4,196,NA,11.74734012,NA,4,NA,197.25,NA,2.5,NA,4,NA,-1.6,53.186,209330.9999,32.5,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Australia","New Guinea","Birds","Accipitriformes","Accipitridae","Accipiter novaehollandiae","Accipiter novaehollandiae","Accipiter novaehollandiae","","Female","Tarsus Length",75.16,65.83,2.166,0.537,3,2,NA,75.16,NA,2.165825478,NA,3,NA,65.83,NA,0.537401154,NA,2,141.814,-5.752,785753,153,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Australia","New Guinea","Birds","Accipitriformes","Accipitridae","Accipiter novaehollandiae","Accipiter novaehollandiae","Accipiter novaehollandiae","VertFishScav","Female","Wing Length",294.333,243.5,7.506,4.95,3,2,NA,294.3333333,NA,7.505553499,NA,3,NA,243.5,NA,4.949747468,NA,2,141.814,-5.752,785753,153,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Olsen et al. 1990, Marchant and Higgins 1993","Australia","Tasmania","Birds","Falconiformes","Accipitridae","Accipiter novaehollandiae","Accipiter novaehollandiae","Accipiter novaehollandiae","","Both","Weight",538,606,96.063,29.8,16,14,356,720,76,103,5,11,415,797,20.4,42.8,9,5,146.75,-42,68401,200,"Weight","Conspecific","No island rule","No"
"Pigot et al. 2020","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter trivirgatus","Accipiter trivirgatus","Accipiter trivirgatus","","Female","Tarsus Length",59.47,57.618,3.801,4.563,4,4,NA,59.47,NA,3.800675379,NA,4,NA,57.6175,NA,4.563444423,NA,4,80.714,7.74,65610,90,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
